"";"session";"unit_session_id.t1";"item_id.t1";"item_name.t1";"answer.t1";"created.t1";"saved.t1";"shown.t1";"shown_relative.t1";"answered.t1";"answered_relative.t1";"displaycount.t1";"display_order.t1";"hidden.t1"
"721";"1LTkYsK-HDTaECj8195InJW5QwghxTUeJQNnyftMpOWJitRq-J5FyKmf0T9D4lQj";2006775;2124368;"logos";"1";"2018-06-07 17:16:13";"2018-06-07 17:16:20";"2018-06-07 15:17:16";"2965.600000003178";"2018-06-07 15:17:16";"";1;0;0
"722";"1LTkYsK-HDTaECj8195InJW5QwghxTUeJQNnyftMpOWJitRq-J5FyKmf0T9D4lQj";2006775;2124369;"Instr_general";"1";"2018-06-07 17:16:13";"2018-06-07 17:16:20";"2018-06-07 15:17:16";"2965.600000003178";"2018-06-07 15:17:16";"";1;1;0
"723";"1LTkYsK-HDTaECj8195InJW5QwghxTUeJQNnyftMpOWJitRq-J5FyKmf0T9D4lQj";2006775;2141104;"reminder_yes_no";"2";"2018-06-07 17:16:13";"2018-06-07 17:16:20";"2018-06-07 15:17:16";"2965.600000003178";"2018-06-07 15:17:20";"6675.100000000384";1;2;0
"724";"1LTkYsK-HDTaECj8195InJW5QwghxTUeJQNnyftMpOWJitRq-J5FyKmf0T9D4lQj";2006775;2189452;"reminder_preStudy";"";"2018-06-07 17:16:13";"";"";"";"";"";1;3;1
"725";"1LTkYsK-HDTaECj8195InJW5QwghxTUeJQNnyftMpOWJitRq-J5FyKmf0T9D4lQj";2006775;2124371;"Page0";"";"2018-06-07 17:16:13";"";"";"";"";"";1;4;1
"726";"1LTkYsK-HDTaECj8195InJW5QwghxTUeJQNnyftMpOWJitRq-J5FyKmf0T9D4lQj";2006775;2124374;"server_start";"Mozilla/5.0 (Linux; Android 8.1.0; Nexus 5X Build/OPM6.171019.030.B1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36";"2018-06-07 17:16:20";"2018-06-07 17:16:20";"2018-06-07 17:16:20";"";"2018-06-07 17:16:20";"";1;5;0
"727";"1LTkYsK-HDTaECj8195InJW5QwghxTUeJQNnyftMpOWJitRq-J5FyKmf0T9D4lQj";2006775;2227165;"ip_address";"141.20.217.30";"2018-06-07 17:16:20";"2018-06-07 17:16:20";"2018-06-07 17:16:20";"";"2018-06-07 17:16:20";"";1;6;0
"728";"1LTkYsK-HDTaECj8195InJW5QwghxTUeJQNnyftMpOWJitRq-J5FyKmf0T9D4lQj";2006775;2124373;"browser";"Mozilla/5.0 (Linux; Android 8.1.0; Nexus 5X Build/OPM6.171019.030.B1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/66.0.3359.158 Mobile Safari/537.36";"2018-06-07 17:16:20";"2018-06-07 17:16:20";"2018-06-07 17:16:20";"";"2018-06-07 17:16:20";"";1;7;0
"729";"1LTkYsK-HDTaECj8195InJW5QwghxTUeJQNnyftMpOWJitRq-J5FyKmf0T9D4lQj";2006775;2124372;"last_outside_referrer";"";"2018-06-07 17:16:20";"2018-06-07 17:16:20";"2018-06-07 17:16:20";"";"2018-06-07 17:16:20";"";1;8;0
"730";"1LTkYsK-HDTaECj8195InJW5QwghxTUeJQNnyftMpOWJitRq-J5FyKmf0T9D4lQj";2006775;2124375;"note_demogr";"1";"2018-06-07 17:16:20";"2018-06-07 17:16:54";"2018-06-07 15:17:24";"1583.299999998417";"2018-06-07 15:17:24";"";1;9;0
