"";"Var.1";"Answer.surveycode";"WorkerId";"survey_virgin";"session";"screen_attention_check_error";"screen_positive";"ip_country";"screen_difftime";"screen_difftime_too_short";"approve";"feedback";"source"
"1";1;"0ELuPRwW";"A1DUPOUC9RNU4L";"failed";"0ELuPRwWw4Lws9UCkmX0OOHMt5_q-9Vf4zYvLHGzLO4oSn5wRJ-TzWZxjTNF24gE";"passed";"failed";"US";52;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check"
"2";2;"2vZJgcKs";"A1Q68M0X4YXHKH";"failed";"2vZJgcKsmVL-HFB1UAgMRta5VY-qkCS0gYHQzC0CjLcZEanl61AJ_-ldU1Mn-4K_";"passed";"passed";"US";60;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check"
"3";3;"bLfnSQvJ";"ANVAFB99K5RKP";"failed";"bLfnSQvJAm3PLC5SYPQxCxyGBBgC9w5EERwWQXhulo88wd5vTZ7qIdLGJOh9-Uf1";"passed";"failed";"US";63;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check"
"4";4;"bSsKmFE7";"A2QIZ31TMHU0GD";"failed";"bSsKmFE7_3z4pAqCh0CaKGwdAkBlVANA0h10_SE7r_6atL8AtewNJbyfZJ3W_NgO";"passed";"failed";"IN";38;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check"
"5";5;"CHDEYH0c";"A3F6DIBE1SOR73";"failed";"CHDEYH0c-7IAEacyc3H2sQSARlRTEvkrfLsADJRRzBk_JLXH-WgFn2JmlJNBA3Ov";"passed";"failed";"US";128;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check"
"6";6;"eM1n1IUX";"AJ4WQY338BIMN";"failed";"eM1n1IUX7Sg6kLbEjZezVhTJQOJQHShCt446sMkS9u01a-3lo_K57N7CXfdGl_Q6";"passed";"passed";"IN";65;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check"
"7";7;"gE5VYe3D";"A2541C8MY0BYV3";"failed";"gE5VYe3DLRLuceKgNvAgNX9gYFgzTL95pz5YQxzy8DeWaqFBqbGE66Ya5m3cXLmb";"passed";"failed";"US";33;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check"
"8";8;"GMK3D7Gh";"A2SRC38HIJ2X19";"failed";"GMK3D7GhKMkkx48aqDysJ_CCWZHnLA9prg0F10NWLW0ksAyPpLE-ShTzo8I-RsW3";"passed";"failed";"EC";102;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check"
"9";9;"HGURfhou";"A1TARNH07A75CG";"failed";"HGURfhouM6e0qTCcsN7vaVFHSMthH4qjlxNsRZIWGCFSETIi8Rw4j-fegs1UVOrL";"passed";"failed";"US";56;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check"
"10";10;"JVUw2ZcK";"A38VMTKS30TQZB";"failed";"JVUw2ZcKJ7Gjsz_IFJi_02Vrldl0D9vAKXB0oZHKMy40TK3DXhPnu9oJhILGETHv";"passed";"failed";"US";41;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check"
"11";11;"o601GEBY";"A1MZ1EU82NE0PQ";"failed";"o601GEBYMBA7VErbM3sluXEiqVBPYd27ML9oT8o4lOLTUAx4OAC79GIupAQ9cT4b";"passed";"failed";"US";47;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check"
"12";12;"oG3FzRhY";"AA4KKLIU4C3NY";"failed";"oG3FzRhYfHA7oQhqwRcuxZI2ncSn3ne7E8DEuEEXzHkfj8wgpy58CUDY898EwgxX";"passed";"failed";"US";182;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check"
"13";13;"pCawP_aG";"A321YWMP74ULKH";"failed";"pCawP_aGjxTJHZopQWvm8cLdU_CtSPpivCOx0gmJNa7dJn5lLCJ7FS6XwFTFz9uS";"passed";"passed";"IN";141;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check"
"14";14;"phv6T6QN";"A3CDJ8PZX578GQ";"failed";"phv6T6QNksHYVJYB_xEeNitaWQV89m84SfjWWNVi0fzCxTQbsMVekIcQwwJ4RVQG";"passed";"failed";"US";84;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check"
