"";"Var.1";"Answer.surveycode";"WorkerId";"survey_virgin";"session";"screen_attention_check_error";"screen_positive";"ip_country";"screen_difftime";"screen_difftime_too_short";"approve";"feedback";"source";"HITId";"HITTypeId";"Title";"Description";"Keywords";"Reward";"CreationTime";"MaxAssignments";"RequesterAnnotation";"AssignmentDurationInSeconds";"AutoApprovalDelayInSeconds";"Expiration";"NumberOfSimilarHITs";"LifetimeInSeconds";"AssignmentId";"AssignmentStatus";"AcceptTime";"SubmitTime";"AutoApprovalTime";"ApprovalTime";"RejectionTime";"RequesterFeedback";"WorkTimeInSeconds";"LifetimeApprovalRate";"Last30DaysApprovalRate";"Last7DaysApprovalRate";"Answer.doNotRedirect";"Approve";"Reject"
"1";1;"0ELuPRwW";"A1DUPOUC9RNU4L";"failed";"0ELuPRwWw4Lws9UCkmX0OOHMt5_q-9Vf4zYvLHGzLO4oSn5wRJ-TzWZxjTNF24gE";"passed";"failed";"US";52;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"2";2;"2vZJgcKs";"A1Q68M0X4YXHKH";"failed";"2vZJgcKsmVL-HFB1UAgMRta5VY-qkCS0gYHQzC0CjLcZEanl61AJ_-ldU1Mn-4K_";"passed";"passed";"US";60;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"3";3;"bLfnSQvJ";"ANVAFB99K5RKP";"failed";"bLfnSQvJAm3PLC5SYPQxCxyGBBgC9w5EERwWQXhulo88wd5vTZ7qIdLGJOh9-Uf1";"passed";"failed";"US";63;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"4";4;"bSsKmFE7";"A2QIZ31TMHU0GD";"failed";"bSsKmFE7_3z4pAqCh0CaKGwdAkBlVANA0h10_SE7r_6atL8AtewNJbyfZJ3W_NgO";"passed";"failed";"IN";38;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"5";5;"CHDEYH0c";"A3F6DIBE1SOR73";"failed";"CHDEYH0c-7IAEacyc3H2sQSARlRTEvkrfLsADJRRzBk_JLXH-WgFn2JmlJNBA3Ov";"passed";"failed";"US";128;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"6";6;"eM1n1IUX";"AJ4WQY338BIMN";"failed";"eM1n1IUX7Sg6kLbEjZezVhTJQOJQHShCt446sMkS9u01a-3lo_K57N7CXfdGl_Q6";"passed";"passed";"IN";65;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"7";7;"gE5VYe3D";"A2541C8MY0BYV3";"failed";"gE5VYe3DLRLuceKgNvAgNX9gYFgzTL95pz5YQxzy8DeWaqFBqbGE66Ya5m3cXLmb";"passed";"failed";"US";33;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8";8;"GMK3D7Gh";"A2SRC38HIJ2X19";"failed";"GMK3D7GhKMkkx48aqDysJ_CCWZHnLA9prg0F10NWLW0ksAyPpLE-ShTzo8I-RsW3";"passed";"failed";"EC";102;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"9";9;"HGURfhou";"A1TARNH07A75CG";"failed";"HGURfhouM6e0qTCcsN7vaVFHSMthH4qjlxNsRZIWGCFSETIi8Rw4j-fegs1UVOrL";"passed";"failed";"US";56;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";10;"JVUw2ZcK";"A38VMTKS30TQZB";"failed";"JVUw2ZcKJ7Gjsz_IFJi_02Vrldl0D9vAKXB0oZHKMy40TK3DXhPnu9oJhILGETHv";"passed";"failed";"US";41;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"11";11;"o601GEBY";"A1MZ1EU82NE0PQ";"failed";"o601GEBYMBA7VErbM3sluXEiqVBPYd27ML9oT8o4lOLTUAx4OAC79GIupAQ9cT4b";"passed";"failed";"US";47;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"12";12;"oG3FzRhY";"AA4KKLIU4C3NY";"failed";"oG3FzRhYfHA7oQhqwRcuxZI2ncSn3ne7E8DEuEEXzHkfj8wgpy58CUDY898EwgxX";"passed";"failed";"US";182;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"13";13;"pCawP_aG";"A321YWMP74ULKH";"failed";"pCawP_aGjxTJHZopQWvm8cLdU_CtSPpivCOx0gmJNa7dJn5lLCJ7FS6XwFTFz9uS";"passed";"passed";"IN";141;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"14";14;"phv6T6QN";"A3CDJ8PZX578GQ";"failed";"phv6T6QNksHYVJYB_xEeNitaWQV89m84SfjWWNVi0fzCxTQbsMVekIcQwwJ4RVQG";"passed";"failed";"US";84;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"15";15;"Qr8IcVOH";"A2NITHCE81FACY";"failed";"Qr8IcVOHCGwX2IB2lOLTWvgDcEBzFJ3f4IoDEvLN4e0VzTK2au3StJ71nYcNgKmJ";"failed";"failed";"US";93;"passed";"REJECT";"You have failed the attention check, therefore I cannot approve your HIT.";"mturk1_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"16";16;"uJVhRfMm";"A1IA6EB932WA4P";"failed";"uJVhRfMmSd_eLJ8nN_7ZFMTc2ZUSBpjIlcrKr3EFEKWqG9WoKKnargPBkwH_jkwp";"failed";"failed";"US";62;"passed";"REJECT";"You have failed the attention check, therefore I cannot approve your HIT.";"mturk1_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"17";17;"xleNVTzm";"A1TEVZP5DA1XYZ";"failed";"xleNVTzm0NlBj82uGWpcJeePBRhbltcYpjQNgIDh1RJJ4DPzFMi8xosvgEfxL3dJ";"passed";"failed";"US";49;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"18";18;"YV5mMqpm";"ANYB94DHDJKNO";"failed";"YV5mMqpmaXNav3LAsm6N4gl-ZqtSLgRF7iPplifLxLzkG3aRBesZ6gVdE1Rz3-EF";"passed";"failed";"US";55;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"19";19;"ZFII4MoT";"A18LPAFMK1B06K";"failed";"ZFII4MoThM7iAyaEXiXR5ZFCuLRQrnJEB1aZDz_3MzhM-PvbZA_ZIXCDZFPdQuLx";"passed";"passed";"US";35;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk1_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"20";1;"23u3yW55";"A30YUB0WTMKX73";"failed";"23u3yW55oDFUoL_UnQhx6f-covCZVrTyvrSJinpq19zxdxCJ9Tq-SLqm_BKxYr3r";"passed";"failed";"US";67;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"21";2;"2rtkZ-gx";"A3DM7UHHDWBK9L";"failed";"2rtkZ-gxQSCbpRguxoePmp17pKloVNOPckTQ9_9AVq110hYfkU6uwaX0ZuWoDVGx";"passed";"passed";"CO";134;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"22";3;"3KxtS5Nk";"A3UTFL5JHRQCM1";"failed";"3KxtS5NkXxgIkxcbn6Ob9cHQbAzto_tCHkEw71MRbCvegMbkWuCd_Umkwl60eheP";"passed";"failed";"US";58;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"23";4;"3xMJeVf2";"A2CF2BD4Q0ZDJN";"failed";"3xMJeVf2IoLT4Bc8bDbSISeZMJYsJApMusgS7DU1zHY0EVrADc-gdDoCG5kGLEo_";"passed";"failed";"US";52;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"24";5;"4t_vH8uw";"A3FUTSFH39MJA5";"failed";"4t_vH8uwCsuxzSu8p0uOkh-dQqsvwvVmKHb-t2kBKLE6r-p2Pw7__qNZ3DfuS5G-";"passed";"failed";"US";67;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"25";6;"8LB8WwEB";"A31WTERLIX9YJP";"failed";"8LB8WwEBOt1WwYriVUT3sF5t6lGkXAA0wAwbo9INkLo0YHiasFT89-c7aEAyePx5";"passed";"passed";"US";141;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"26";7;"9B0Sso_8";"A9ZCY6FLUCIU1";"failed";"9B0Sso_84TFv5VRng81NHB4HZ66KBG1izOkOvr02zvvYeokCL10C33APuq5rRydK";"passed";"failed";"US";46;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"27";8;"CK4Dk3XW";"ABL3H3O3BI8ZD";"failed";"CK4Dk3XWzb4osd46jlnXrmXC4fdJiwu8-TJQIUS-DBJfmmgrhTJ9DlSQchg9Q9wL";"passed";"failed";"US";50;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"28";9;"d5EqfpHg";"A3FDQJMLPJ2YVJ";"failed";"d5EqfpHgDO7iYiznROptqCU4qfxgnueroK8cBkov0mlOvlaZr9IcGVZYlyheyCsL";"passed";"failed";"US";64;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"29";10;"dd_5cZFS";"A2TQCLAV1NQW5N";"failed";"dd_5cZFSwITvDQMviqkOOHiSFyr8Q4JlHcbRrSbCFfp6fKO7ERptKpEVkTce82BI";"passed";"failed";"US";85;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"30";11;"DER0k7bO";"A1G2PW5L311IXU";"failed";"DER0k7bO3in41xQ-6GhNDMyZP3yO_NEf33mLK6-i2lUwE9UgFjqicJzqKz3z41ei";"passed";"failed";"VE";40;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"31";12;"didT8NZh";"A25CFVQND4A0EV";"failed";"didT8NZhtKhhoDYYe9BqSS875Vd63nPyyoYQc_OuuPTYVkWA9iOwlcsB81kXxZ1A";"passed";"failed";"US";46;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"32";13;"ds9-udvK";"A136GE908Q9X5O";"failed";"ds9-udvKJUp99HiuUbzgWcao5JCpEpLPCD14iNbH-3CxBPMJ9CcMnjsnrTwBa7YG";"passed";"passed";"US";74;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"33";14;"g_rGYsSb";"A39XIQCFSCNHFU";"failed";"g_rGYsSbB9jIQnG-iis1WhkLz9gTOyDJvbVIkoyxtmswqWjNFRtjDHs2N2sAiHhx";"passed";"failed";"US";51;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"34";15;"gm6Zidww";"A1NSHNH3MNFRGW";"failed";"gm6Zidww3LmSLI2H38w8jVGpPTNTbXyNSrBatIA3YAQcZncy-lSoZT44ECZDz1he";"passed";"failed";"US";94;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"35";16;"GSks3V5s";"A1ARX2B9YZ82E4";"failed";"GSks3V5sxr6qWXL_OeKJzWsSqFnwOUspT5w1uZdDcWP_bW4qBl13Q2cHeTG5KY0u";"passed";"passed";"US";72;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"36";17;"gvXOqnxU";"A89R5XGMHOTJE";"failed";"gvXOqnxUFAkJyTRhDWJDqx7QMSofmJHZQI62egv5hryBWv8F8onkOoffVedhblwb";"passed";"passed";"US";45;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"37";18;"hsQBhYyw";"A3J0IAI8AJBGKX";"failed";"hsQBhYywo-AzViJkRhl0EFXPvHo2q4scrvg3FTf5dM8K5dhBPWXVbXiCpqhZjhpD";"passed";"failed";"US";74;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"38";19;"HxS0hqxQ";"A2Y5HX38CIQVAM";"failed";"HxS0hqxQhrf_D5229BwhI3AubcE0YHJ1WKuKy9fa79D4JvIrWFlT3ssugeC-uVsR";"passed";"failed";"US";61;"passed";"REJECT";"You have already filled out this HIT before. As detailed in the survey instructions (and just before submitting the HIT), Workers can only be approved if they have not yet filled out this survey. Therefore I cannot approve your HIT. Sorry!";"mturk2_check";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
