session;group;group_affect;time;answer_length;sum_senti;rel_senti
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;1; 20;  0; 0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;2; 33; -3;-0,090909091
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;3; 69; -1;-0,014492754
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;4; 46;  2; 0,043478261
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;1; 30;  8; 0,266666667
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;2; 26; -3;-0,115384615
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;3; 58;-10;-0,172413793
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;4; 33; -3;-0,090909091
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;1; 41; 11; 0,268292683
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;2; 31;  7; 0,225806452
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;3; 25;  4; 0,160000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;4; 31; 10; 0,322580645
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;1; 48;  0; 0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;2; 19;  1; 0,052631579
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;3; 15; -2;-0,133333333
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;4; 10;  0; 0,000000000
-Ss4CIoCwdvMnc5BfcOKue42LQArii7-GM_ITCjjb-Bsl78RnN2I9I51rjKeAdhK;gr8;negative;1;  3;  0; 0,000000000
-Ss4CIoCwdvMnc5BfcOKue42LQArii7-GM_ITCjjb-Bsl78RnN2I9I51rjKeAdhK;gr8;negative;2;  5; -4;-0,800000000
-Ss4CIoCwdvMnc5BfcOKue42LQArii7-GM_ITCjjb-Bsl78RnN2I9I51rjKeAdhK;gr8;negative;3;  6; -4;-0,666666667
-Ss4CIoCwdvMnc5BfcOKue42LQArii7-GM_ITCjjb-Bsl78RnN2I9I51rjKeAdhK;gr8;negative;4;  5; -4;-0,800000000
-w_NbTzfTPXVIeWEfLQz15xkh7P9XcBP11yV-hxK6fjHKY0hfhZcO60IAxjTUJt7;gr8;negative;1;  3;  2; 0,666666667
-w_NbTzfTPXVIeWEfLQz15xkh7P9XcBP11yV-hxK6fjHKY0hfhZcO60IAxjTUJt7;gr8;negative;2;  4;  2; 0,500000000
-w_NbTzfTPXVIeWEfLQz15xkh7P9XcBP11yV-hxK6fjHKY0hfhZcO60IAxjTUJt7;gr8;negative;3;  4;  2; 0,500000000
-w_NbTzfTPXVIeWEfLQz15xkh7P9XcBP11yV-hxK6fjHKY0hfhZcO60IAxjTUJt7;gr8;negative;4;  2;  2; 1,000000000
-X4lj-vl12EekZHwiJ3Zlvp89gR-L1kDhm0OLhVTN48YuGYpy9QtaKwSvZKMevYs;gr8;negative;1;  3; -2;-0,666666667
-X4lj-vl12EekZHwiJ3Zlvp89gR-L1kDhm0OLhVTN48YuGYpy9QtaKwSvZKMevYs;gr8;negative;2;  2;  0; 0,000000000
-X4lj-vl12EekZHwiJ3Zlvp89gR-L1kDhm0OLhVTN48YuGYpy9QtaKwSvZKMevYs;gr8;negative;3;  2; -3;-1,500000000
-X4lj-vl12EekZHwiJ3Zlvp89gR-L1kDhm0OLhVTN48YuGYpy9QtaKwSvZKMevYs;gr8;negative;4;  1; -2;-2,000000000
_0TRf-WkNttuvEx7qMK6CPzjHAkvb-tRxd4ZijoPEwMxv0_Vh265sNwRw5Skqz7x;gr9;negative;1;  2;  2; 1,000000000
_0TRf-WkNttuvEx7qMK6CPzjHAkvb-tRxd4ZijoPEwMxv0_Vh265sNwRw5Skqz7x;gr9;negative;2;  5;  3; 0,600000000
_0TRf-WkNttuvEx7qMK6CPzjHAkvb-tRxd4ZijoPEwMxv0_Vh265sNwRw5Skqz7x;gr9;negative;3;  8;  0; 0,000000000
_0TRf-WkNttuvEx7qMK6CPzjHAkvb-tRxd4ZijoPEwMxv0_Vh265sNwRw5Skqz7x;gr9;negative;4;  6; -2;-0,333333333
_1hvAZc9qLQ2YfUyDSh2K7uk8g1JXNEITIddyhDivkCF1g91h9Qu09TYGzQg-U5N;gr6;neutral;1;  5;  4; 0,800000000
_1hvAZc9qLQ2YfUyDSh2K7uk8g1JXNEITIddyhDivkCF1g91h9Qu09TYGzQg-U5N;gr6;neutral;2;  7;  2; 0,285714286
_1hvAZc9qLQ2YfUyDSh2K7uk8g1JXNEITIddyhDivkCF1g91h9Qu09TYGzQg-U5N;gr6;neutral;3;  2;  4; 2,000000000
_1hvAZc9qLQ2YfUyDSh2K7uk8g1JXNEITIddyhDivkCF1g91h9Qu09TYGzQg-U5N;gr6;neutral;4;  3;  4; 1,333333333
_1Jy32eKRjFQxO1NhZwnDQZtawU8CAdAxpJ4cA8DoW3ekzCsw8eYhiaXyJszp7x-;gr7;negative;1; 31; -1;-0,032258065
_1Jy32eKRjFQxO1NhZwnDQZtawU8CAdAxpJ4cA8DoW3ekzCsw8eYhiaXyJszp7x-;gr7;negative;2; 25;  0; 0,000000000
_1Jy32eKRjFQxO1NhZwnDQZtawU8CAdAxpJ4cA8DoW3ekzCsw8eYhiaXyJszp7x-;gr7;negative;3; 15;  0; 0,000000000
_1Jy32eKRjFQxO1NhZwnDQZtawU8CAdAxpJ4cA8DoW3ekzCsw8eYhiaXyJszp7x-;gr7;negative;4; 16; -5;-0,312500000
_CE7XBk2QC-I-FxMNfDr6WBkexejesSSZ5mZToL6kVece1ZuA2DSTXEMtsty8Sbt;gr1;positive;1; 33;  7; 0,212121212
_CE7XBk2QC-I-FxMNfDr6WBkexejesSSZ5mZToL6kVece1ZuA2DSTXEMtsty8Sbt;gr1;positive;2; 52; -2;-0,038461538
_CE7XBk2QC-I-FxMNfDr6WBkexejesSSZ5mZToL6kVece1ZuA2DSTXEMtsty8Sbt;gr1;positive;3; 39;  9; 0,230769231
_CE7XBk2QC-I-FxMNfDr6WBkexejesSSZ5mZToL6kVece1ZuA2DSTXEMtsty8Sbt;gr1;positive;4; 70;  0; 0,000000000
_d59N_r6yZEYYs3KSIGrDCAQXYs7gxxZSsjWFIDpsiXszJ5iGLt8lrNKifs-EzXT;gr4;neutral;1; 24;  0; 0,000000000
_d59N_r6yZEYYs3KSIGrDCAQXYs7gxxZSsjWFIDpsiXszJ5iGLt8lrNKifs-EzXT;gr4;neutral;2; 17;  2; 0,117647059
_d59N_r6yZEYYs3KSIGrDCAQXYs7gxxZSsjWFIDpsiXszJ5iGLt8lrNKifs-EzXT;gr4;neutral;3; 17;  4; 0,235294118
_d59N_r6yZEYYs3KSIGrDCAQXYs7gxxZSsjWFIDpsiXszJ5iGLt8lrNKifs-EzXT;gr4;neutral;4; 18;  4; 0,222222222
_dIuusHWP9enBN4_hNTFCD1KuutGGg0ZcgS123v7vtPlaBA6i131xLaj9CwHUBey;gr5;neutral;1; 14;  2; 0,142857143
_dIuusHWP9enBN4_hNTFCD1KuutGGg0ZcgS123v7vtPlaBA6i131xLaj9CwHUBey;gr5;neutral;2;  9;  2; 0,222222222
_dIuusHWP9enBN4_hNTFCD1KuutGGg0ZcgS123v7vtPlaBA6i131xLaj9CwHUBey;gr5;neutral;3; 11;  2; 0,181818182
_dIuusHWP9enBN4_hNTFCD1KuutGGg0ZcgS123v7vtPlaBA6i131xLaj9CwHUBey;gr5;neutral;4; 11;  2; 0,181818182
_g9acHO0P8eQqgcqmTLOa74oqrHYhh1yuXA0DTDAXPNdOI95-kqkq9IZIwFLAn8v;gr7;negative;1; 66;  8; 0,121212121
_g9acHO0P8eQqgcqmTLOa74oqrHYhh1yuXA0DTDAXPNdOI95-kqkq9IZIwFLAn8v;gr7;negative;2; 52; -1;-0,019230769
_g9acHO0P8eQqgcqmTLOa74oqrHYhh1yuXA0DTDAXPNdOI95-kqkq9IZIwFLAn8v;gr7;negative;3; 30;  0; 0,000000000
_g9acHO0P8eQqgcqmTLOa74oqrHYhh1yuXA0DTDAXPNdOI95-kqkq9IZIwFLAn8v;gr7;negative;4; 53;  0; 0,000000000
_iV4EQLBqMnsGWVOCi_PkO0KHZ325Wea2MqhLy60tT1b6rkTYQu0uS-R2FIbseFy;gr8;negative;1;  3;  6; 2,000000000
_iV4EQLBqMnsGWVOCi_PkO0KHZ325Wea2MqhLy60tT1b6rkTYQu0uS-R2FIbseFy;gr8;negative;2; 15; -3;-0,200000000
_iV4EQLBqMnsGWVOCi_PkO0KHZ325Wea2MqhLy60tT1b6rkTYQu0uS-R2FIbseFy;gr8;negative;3; 18;  5; 0,277777778
_iV4EQLBqMnsGWVOCi_PkO0KHZ325Wea2MqhLy60tT1b6rkTYQu0uS-R2FIbseFy;gr8;negative;4; 12;  0; 0,000000000
_RBbzUznc_xrIUJL8Ef_NHMxXGYZi5pMRiTEnVormXRfJbHARlSMZqQsQUUHji63;gr5;neutral;1; 40;  0; 0,000000000
_RBbzUznc_xrIUJL8Ef_NHMxXGYZi5pMRiTEnVormXRfJbHARlSMZqQsQUUHji63;gr5;neutral;2; 55;  6; 0,109090909
_RBbzUznc_xrIUJL8Ef_NHMxXGYZi5pMRiTEnVormXRfJbHARlSMZqQsQUUHji63;gr5;neutral;3; 49;  6; 0,122448980
_RBbzUznc_xrIUJL8Ef_NHMxXGYZi5pMRiTEnVormXRfJbHARlSMZqQsQUUHji63;gr5;neutral;4; 42; 10; 0,238095238
_Rim_hZKQtPe6pt1jPvxYjTRKWmG39A4MUfurNbFwa8Wsv9IzmOswEMxwnlJSBcO;gr3;positive;1; 24; -3;-0,125000000
_Rim_hZKQtPe6pt1jPvxYjTRKWmG39A4MUfurNbFwa8Wsv9IzmOswEMxwnlJSBcO;gr3;positive;2; 30; -5;-0,166666667
_Rim_hZKQtPe6pt1jPvxYjTRKWmG39A4MUfurNbFwa8Wsv9IzmOswEMxwnlJSBcO;gr3;positive;3; 36; -6;-0,166666667
_Rim_hZKQtPe6pt1jPvxYjTRKWmG39A4MUfurNbFwa8Wsv9IzmOswEMxwnlJSBcO;gr3;positive;4; 28; -1;-0,035714286
00xwybe-qtIav9bDxrCGYceo7ED8RJQMC4P_bOphSBgN0hiXok5Haoj1DazI8hnA;gr6;neutral;1; 16;  6; 0,375000000
00xwybe-qtIav9bDxrCGYceo7ED8RJQMC4P_bOphSBgN0hiXok5Haoj1DazI8hnA;gr6;neutral;2; 13;  2; 0,153846154
00xwybe-qtIav9bDxrCGYceo7ED8RJQMC4P_bOphSBgN0hiXok5Haoj1DazI8hnA;gr6;neutral;3; 20;  0; 0,000000000
00xwybe-qtIav9bDxrCGYceo7ED8RJQMC4P_bOphSBgN0hiXok5Haoj1DazI8hnA;gr6;neutral;4; 10;  4; 0,400000000
06Cp8MkaQbGUJSCrEmJvZHQiXleU23WxH3YF2ijmN7UAaJJNRNYFSh1cbGe5dIhX;gr9;negative;1; 26;  3; 0,115384615
06Cp8MkaQbGUJSCrEmJvZHQiXleU23WxH3YF2ijmN7UAaJJNRNYFSh1cbGe5dIhX;gr9;negative;2; 16;  9; 0,562500000
06Cp8MkaQbGUJSCrEmJvZHQiXleU23WxH3YF2ijmN7UAaJJNRNYFSh1cbGe5dIhX;gr9;negative;3; 10;  9; 0,900000000
06Cp8MkaQbGUJSCrEmJvZHQiXleU23WxH3YF2ijmN7UAaJJNRNYFSh1cbGe5dIhX;gr9;negative;4; 27;  5; 0,185185185
09ZI5FE1QZLKSHfFvtzWqXhbNV70Ph_M2kKlKRNJIKdyfI3llVJ6h_XgGsJRvxdI;gr1;positive;1; 39;  0; 0,000000000
09ZI5FE1QZLKSHfFvtzWqXhbNV70Ph_M2kKlKRNJIKdyfI3llVJ6h_XgGsJRvxdI;gr1;positive;2; 24;  2; 0,083333333
09ZI5FE1QZLKSHfFvtzWqXhbNV70Ph_M2kKlKRNJIKdyfI3llVJ6h_XgGsJRvxdI;gr1;positive;3; 11;  6; 0,545454545
09ZI5FE1QZLKSHfFvtzWqXhbNV70Ph_M2kKlKRNJIKdyfI3llVJ6h_XgGsJRvxdI;gr1;positive;4; 37;  4; 0,108108108
0apWIq1Pp7_-A23kQnv60FA1NggoJT5AtGIv1AFZl_vx0xKN2_Bdl69E6yAbd98N;gr4;neutral;1; 30; -2;-0,066666667
0apWIq1Pp7_-A23kQnv60FA1NggoJT5AtGIv1AFZl_vx0xKN2_Bdl69E6yAbd98N;gr4;neutral;2; 53;  1; 0,018867925
0apWIq1Pp7_-A23kQnv60FA1NggoJT5AtGIv1AFZl_vx0xKN2_Bdl69E6yAbd98N;gr4;neutral;3; 78;  2; 0,025641026
0apWIq1Pp7_-A23kQnv60FA1NggoJT5AtGIv1AFZl_vx0xKN2_Bdl69E6yAbd98N;gr4;neutral;4; 42; -4;-0,095238095
0FV_cDfFbKSaHltCCQZr0pLhRUtb8Ldt-7BStTucP5EAetEKP8TKxRvh-SC3mdcr;gr8;negative;1; 28;  1; 0,035714286
0FV_cDfFbKSaHltCCQZr0pLhRUtb8Ldt-7BStTucP5EAetEKP8TKxRvh-SC3mdcr;gr8;negative;2; 40;  4; 0,100000000
0FV_cDfFbKSaHltCCQZr0pLhRUtb8Ldt-7BStTucP5EAetEKP8TKxRvh-SC3mdcr;gr8;negative;3; 48;  2; 0,041666667
0FV_cDfFbKSaHltCCQZr0pLhRUtb8Ldt-7BStTucP5EAetEKP8TKxRvh-SC3mdcr;gr8;negative;4; 41;  2; 0,048780488
0IbUHh4_Xl3ezomTdSe3fvpPSwN-ZuU4kb1v3SJJWhUPHuqacfEEOPhuVnt38cKK;gr4;neutral;1;  4;  2; 0,500000000
0IbUHh4_Xl3ezomTdSe3fvpPSwN-ZuU4kb1v3SJJWhUPHuqacfEEOPhuVnt38cKK;gr4;neutral;2;  1; -2;-2,000000000
0IbUHh4_Xl3ezomTdSe3fvpPSwN-ZuU4kb1v3SJJWhUPHuqacfEEOPhuVnt38cKK;gr4;neutral;3;  3;  2; 0,666666667
0IbUHh4_Xl3ezomTdSe3fvpPSwN-ZuU4kb1v3SJJWhUPHuqacfEEOPhuVnt38cKK;gr4;neutral;4;  2;  0; 0,000000000
0OMO1DPXySQfgZxw7Yc7MMEqiIuorbsikXeulzsh4rnk_OwavZ04569gU9k-sf33;gr4;neutral;1; 14;  4; 0,285714286
0OMO1DPXySQfgZxw7Yc7MMEqiIuorbsikXeulzsh4rnk_OwavZ04569gU9k-sf33;gr4;neutral;2; 11;  2; 0,181818182
0OMO1DPXySQfgZxw7Yc7MMEqiIuorbsikXeulzsh4rnk_OwavZ04569gU9k-sf33;gr4;neutral;3;  8;  0; 0,000000000
0OMO1DPXySQfgZxw7Yc7MMEqiIuorbsikXeulzsh4rnk_OwavZ04569gU9k-sf33;gr4;neutral;4; 14; -3;-0,214285714
0PTYr79TyhJPNqfLv3tLEcU-23ayO3U5V97tA-WMKDCOTyHDkF5fpDBSLb2khdSD;gr1;positive;1; 27;  6; 0,222222222
0PTYr79TyhJPNqfLv3tLEcU-23ayO3U5V97tA-WMKDCOTyHDkF5fpDBSLb2khdSD;gr1;positive;2; 14;  1; 0,071428571
0PTYr79TyhJPNqfLv3tLEcU-23ayO3U5V97tA-WMKDCOTyHDkF5fpDBSLb2khdSD;gr1;positive;3;  7; -1;-0,142857143
0PTYr79TyhJPNqfLv3tLEcU-23ayO3U5V97tA-WMKDCOTyHDkF5fpDBSLb2khdSD;gr1;positive;4; 17;  1; 0,058823529
0QE1G4dh5X_NoH4LaYh2gPqG8OwWmCy11HueANz2WPj9NhyW9N6aGU2gytsitZkZ;gr8;negative;1; 35;  0; 0,000000000
0QE1G4dh5X_NoH4LaYh2gPqG8OwWmCy11HueANz2WPj9NhyW9N6aGU2gytsitZkZ;gr8;negative;2; 25;  2; 0,080000000
0QE1G4dh5X_NoH4LaYh2gPqG8OwWmCy11HueANz2WPj9NhyW9N6aGU2gytsitZkZ;gr8;negative;3; 23; -3;-0,130434783
0QE1G4dh5X_NoH4LaYh2gPqG8OwWmCy11HueANz2WPj9NhyW9N6aGU2gytsitZkZ;gr8;negative;4; 15; -3;-0,200000000
0SOhNnbPwgcGS_6KOVL1tguggVTOdnHkpKtpuE5TestnP3hB0KoMAcAWcrS4N_ce;gr3;positive;1; 28;  0; 0,000000000
0SOhNnbPwgcGS_6KOVL1tguggVTOdnHkpKtpuE5TestnP3hB0KoMAcAWcrS4N_ce;gr3;positive;2;123;  1; 0,008130081
0SOhNnbPwgcGS_6KOVL1tguggVTOdnHkpKtpuE5TestnP3hB0KoMAcAWcrS4N_ce;gr3;positive;3; 40;  4; 0,100000000
0SOhNnbPwgcGS_6KOVL1tguggVTOdnHkpKtpuE5TestnP3hB0KoMAcAWcrS4N_ce;gr3;positive;4; 48;  7; 0,145833333
0VgQ_5Qly_pke5m7r9kFQ3k9PjLaMqK0Ln8slbKRsvPTqMiDZC75TeTx5kQVddKA;gr4;neutral;1; 21;  0; 0,000000000
0VgQ_5Qly_pke5m7r9kFQ3k9PjLaMqK0Ln8slbKRsvPTqMiDZC75TeTx5kQVddKA;gr4;neutral;2; 29;  0; 0,000000000
0VgQ_5Qly_pke5m7r9kFQ3k9PjLaMqK0Ln8slbKRsvPTqMiDZC75TeTx5kQVddKA;gr4;neutral;3; 19; -6;-0,315789474
0VgQ_5Qly_pke5m7r9kFQ3k9PjLaMqK0Ln8slbKRsvPTqMiDZC75TeTx5kQVddKA;gr4;neutral;4; 19; -3;-0,157894737
0wKMNuE8-Af2Dt2W9SWxW5PKIRrbxWk0cPnx7diFTDjVlcgK33GiOFE94VsYXFF7;gr6;neutral;1; 37;  4; 0,108108108
