session;group;group_affect;time;sentiment;answer_length;sum_senti;rel_senti
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;1;negative; 20; 1;0,050000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;1;positive; 20; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;2;negative; 33; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;2;positive; 33; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;3;negative; 69; 3;0,043478261
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;3;positive; 69; 2;0,028985507
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;4;negative; 46; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;4;positive; 46; 0;0,000000000
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;1;negative; 30; 0;0,000000000
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;1;positive; 30; 5;0,166666667
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;2;negative; 26; 2;0,076923077
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;2;positive; 26; 1;0,038461538
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;3;negative; 58; 4;0,068965517
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;3;positive; 58; 0;0,000000000
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;4;negative; 33; 1;0,030303030
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;4;positive; 33; 1;0,030303030
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;1;negative; 41; 0;0,000000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;1;positive; 41; 3;0,073170732
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;2;negative; 31; 0;0,000000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;2;positive; 31; 2;0,064516129
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;3;negative; 25; 0;0,000000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;3;positive; 25; 4;0,160000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;4;negative; 31; 0;0,000000000
-GB2I9T5_eJyfgJBMFhp4SVUtKeSY-Zkyzirn_StkWacg-h5aB-Nh3WTwItfplYD;gr1;positive;4;positive; 31; 3;0,096774194
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;1;negative; 48; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;1;positive; 48; 1;0,020833333
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;2;negative; 19; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;2;positive; 19; 2;0,105263158
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;3;negative; 15; 1;0,066666667
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;3;positive; 15; 0;0,000000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;4;negative; 10; 1;0,100000000
-Lnsf324V9hUU6qismrN7OJKB-uI9EZSoqCFs1pcTMS1V_Dwj5mq4yKMSv7LGa24;gr5;neutral;4;positive; 10; 1;0,100000000
