session;group;group_affect;time;sentiment;answer_length;sum_senti;rel_senti
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;1;anger; 20; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;1;anticipation; 20; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;1;disgust; 20; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;1;fear; 20; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;1;joy; 20; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;1;negative; 20; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;1;positive; 20; 1;0,050000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;1;sadness; 20; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;1;surprise; 20; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;1;trust; 20; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;2;anger; 33; 1;0,030303030
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;2;anticipation; 33; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;2;disgust; 33; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;2;fear; 33; 1;0,030303030
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;2;joy; 33; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;2;negative; 33; 1;0,030303030
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;2;positive; 33; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;2;sadness; 33; 1;0,030303030
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;2;surprise; 33; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;2;trust; 33; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;3;anger; 69; 1;0,014492754
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;3;anticipation; 69; 1;0,014492754
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;3;disgust; 69; 2;0,028985507
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;3;fear; 69; 1;0,014492754
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;3;joy; 69; 2;0,028985507
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;3;negative; 69; 1;0,014492754
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;3;positive; 69; 4;0,057971014
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;3;sadness; 69; 2;0,028985507
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;3;surprise; 69; 1;0,014492754
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;3;trust; 69; 2;0,028985507
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;4;anger; 46; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;4;anticipation; 46; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;4;disgust; 46; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;4;fear; 46; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;4;joy; 46; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;4;negative; 46; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;4;positive; 46; 1;0,021739130
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;4;sadness; 46; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;4;surprise; 46; 0;0,000000000
-1VNN8vZ55chG8dMEzNFxm-M0nJSYYk_f5Jjtzy6tig2ngSep2oLvUOdLtiqwxmc;gr4;neutral;4;trust; 46; 0;0,000000000
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;1;anger; 30; 1;0,033333333
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;1;anticipation; 30; 0;0,000000000
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;1;disgust; 30; 1;0,033333333
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;1;fear; 30; 1;0,033333333
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;1;joy; 30; 0;0,000000000
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;1;negative; 30; 1;0,033333333
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;1;positive; 30; 3;0,100000000
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;1;sadness; 30; 0;0,000000000
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;1;surprise; 30; 0;0,000000000
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;1;trust; 30; 1;0,033333333
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;2;anger; 26; 3;0,115384615
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;2;anticipation; 26; 0;0,000000000
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;2;disgust; 26; 1;0,038461538
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;2;fear; 26; 1;0,038461538
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;2;joy; 26; 0;0,000000000
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;2;negative; 26; 3;0,115384615
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;2;positive; 26; 0;0,000000000
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;2;sadness; 26; 3;0,115384615
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;2;surprise; 26; 1;0,038461538
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;2;trust; 26; 1;0,038461538
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;3;anger; 58; 3;0,051724138
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;3;anticipation; 58; 0;0,000000000
-3lfjy0SYga8pkhhkBgeVtkH63FcAOTnVBFpzB_9rgEY6M51cMNpkRMMZpzDR0Oe;gr4;neutral;3;disgust; 58; 1;0,017241379
