session,group,time,answer_length.x,word,negate,answer,answer_length.y
PPS8v5t4p3Y5-4w1qMYRA00bopv_KKYtm7Ql3T-CwCvygqLdwP2pNUc2v5FPug4t,gr1,1,51,doesn't,TRUE,"He's sweet and simple. He has strong ties to family and friends, and is very loyal. He is both fascinated and proud and concerned to know he has a son. He's very relieved to know his son doesn't have the same cognitive and social challenges that he has.",51
w9yeI080jXqrHHMs-ttVC8Mt3CurqMBKwaUPhivx3KswkpwPFH509rARkFk8nndm,gr1,1,44,doesn't,TRUE,"He is a man with learning disabilities who reacted very sweetly and emotionally to finding out he had a son. He was primarily worried about the wellbeing of the son he doesn't know, which was very heartwarming. He seems like a nice man.",44
cVyhtnIG-k431XYfhRQSvIrrn0F6CflQAOckEmwiKgDuSvXJjb9ot_TDjPAm5qgB,gr1,1,74,not,TRUE,"I think that he is a bit shy and nervous but I think that he is a good person and tries to do the right thing. I think he is a gentle soul even though he is not all the way intellectually there, it helps him to be nicer to other people because he seems to have a lot of empathy for them. He doesn't seem to have strong emotional reactions to things.",74
cVyhtnIG-k431XYfhRQSvIrrn0F6CflQAOckEmwiKgDuSvXJjb9ot_TDjPAm5qgB,gr1,1,74,doesn't,TRUE,"I think that he is a bit shy and nervous but I think that he is a good person and tries to do the right thing. I think he is a gentle soul even though he is not all the way intellectually there, it helps him to be nicer to other people because he seems to have a lot of empathy for them. He doesn't seem to have strong emotional reactions to things.",74
AiuNS_369auyKyzOI3IUDMNKm9vo0pfKWu9LD5DBoSl6_jRJkoD7Nb0_hq-ojB5A,gr1,1,69,not,TRUE,The man has difficulty speaking. He was surprised to find that he has a son that he did not know he had. He seems very concerned and then relieved when the woman lets him know that everything is OK. The overall impression is that he is a kind person who immediately takes an interest in the child by going to sit next to him in front of the TV.,69
GkHzHWh0-9sT03WzOM5MTGHt1EUOOvM_4MOj4-l_ZpKu8K0ksAZoRIWWlIht2pOI,gr1,1,36,doesn't,TRUE,"Forrest Gump is an inspirational man. He doesn't have smarts or common sense, but he has a strong heart and soul. He is caring and loving, and that's what gets him through his life.",36
4BC8J3ZDkN3HexBiyN9n4TUhBxGnvWFvl52Y2zUfzr354P5o-kMC88zjAqR7FO08,gr1,1,29,didn't,TRUE,"I loved the character. Once he found out he had a son, he didn't get angry or upset. He wasn't pushy in wanting to meet the boy.",29
4BC8J3ZDkN3HexBiyN9n4TUhBxGnvWFvl52Y2zUfzr354P5o-kMC88zjAqR7FO08,gr1,1,29,wasn't,TRUE,"I loved the character. Once he found out he had a son, he didn't get angry or upset. He wasn't pushy in wanting to meet the boy.",29
pI5KyyVoZOxknJDGZ8nwmELJ-gXLlEGDYZZ_tBKwJNuHX6eIA3nAArbhl5v_I4tr,gr1,1,11,not,TRUE,"He seemed very kind but not intellectual enough, maybe mentally challenged.",11
BCNSykJFj6QBXIFZScYdLQlFey2Vtz_8bdJXz7FY-d0kqB_LOlDH3D0sApLmB3zU,gr1,1,18,not,TRUE,He is loving with a good heart. He may not be smart but he is where it matters.,18
